postcode,northing,easting
HA9 6PW,184598,519681
HA9 6QL,184925,519217
HA9 6QQ,184699,519475
HA9 8HD,186006,518627
HA9 8JZ,186432,518446
HA9 8LB,186496,518454
HA9 9DS,186492,520240
HA9 9FX,186409,519558
HA9 9HA,186629,519960
HA9 9TW,187291,518410
IG1 1EE,186254,543897
IG1 2SF,185470,543993
IG1 2SN,185105,544106
IG1 3AF,186498,543305
IG1 3HZ,187429,542899
IG1 4JE,186949,543990
IG1 4JY,186952,543646
IG1 4LA,187002,543751
IG11 0LG,183101,546039
IG11 7LZ,183884,544310
IG11 7RS,183446,544468
IG11 7TB,183684,544665
IG11 7UN,183744,544931
IG11 8GD,184490,544075
IG11 8PY,184821,544039
IG11 8RJ,184642,544215
IG11 8SF,184553,544658
IG11 9LD,184745,545463
IG11 9LT,184575,545538
IG11 9LX,184272,545649
IG11 9NR,184302,546470
IG11 9RS,183914,545352
IG11 9XQ,184269,544609
IG2 6EW,188032,543201
IG2 6JX,188512,543285
IG2 6LL,188455,543366
IG2 6SX,188639,543589
IG2 6UW,188496,543151
IG2 6YG,188984,543661
IG2 7LE,188458,544645
IG2 7NW,188524,544820
IG3 8BG,187037,545438
IG3 8BU,187060,545494
IG3 8LF,187246,545249
IG3 8XB,187526,546331
IG3 9QW,187121,546532
IG3 9RN,187054,546598
IG3 9TJ,186734,545422
IG4 5AW,188390,542226
IG4 5BZ,188530,542406
IG5 0LG,190038,542206
IG5 0QS,190347,542982
IG5 0SB,190647,543621
IG6 2HG,190476,544435
IG6 2NB,191094,544453
IG6 2TA,191687,544407
IG6 2XG,191321,544572
IG7 4DF,191978,545822
IG8 0AR,191458,540791
IG8 0HF,191927,540897
IG8 8AL,191759,542431
IG8 9QJ,191888,539982
KT1 4DY,169858,517406
KT2 5AD,169715,517979
KT2 5HF,170582,518127
KT2 6HR,169744,518514
KT2 6PG,169653,519141
KT2 7AZ,169564,519478
KT2 7PX,170071,519503
KT3 3TX,169324,520956
KT3 4BH,168166,521422
KT3 6AA,167904,521444
KT3 6DR,167947,521496
KT3 6JD,167992,522976
KT4 7LG,166093,522003
KT5 9QD,166256,520152
KT6 6BS,167113,517953
KT6 6EZ,167153,518371
KT6 7QG,166116,519088
KT9 1AG,164705,518189
KT9 2GY,163586,517617
N1 0AL,183945,530530
N1 0DG,183456,531334
N1 1SW,184552,531467
N1 2DE,184173,532040
N1 2RY,183773,531720
N1 3BS,183961,532428
N1 3JS,184177,532867
N1 3NG,184633,532726
N1 5DR,183359,532796
N1 5HZ,183400,533306
N1 5QT,183923,533379
N1 7AA,183796,532454
N1 8EQ,183275,531500
N1 8JG,183564,531823
N1 9RH,183380,530558
N10 1DU,190044,528642
N10 1ET,190724,528395
N10 2PS,189792,528858
N10 3BJ,189736,528395
N11 1BD,192395,529580
N11 1EY,193892,528200
N11 2PF,191409,529837
N11 3BU,192100,527774
N12 0JE,191199,526369
N12 9SS,192502,526448
N13 4BS,193236,531255
N13 4DR,193481,531526
N13 4JJ,192659,530779
N13 4RJ,193006,530798
N13 4XE,192562,530970
N13 5ST,193057,531948
N14 4AQ,195841,529185
N14 4PR,195143,528614
N15 3DY,189522,531582
N15 3PB,189170,532271
N15 4AA,189261,532656
N15 4JR,189554,533197
N15 4RH,189256,533924
N15 5AZ,188684,532587
N15 5HJ,188664,533037
N15 6JR,188390,533638
N15 6SB,188307,532752
N16 0EF,186526,533280
N16 5JF,187831,533038
N16 5RS,187732,533613
N16 5SR,186997,533616
N16 5UF,186933,532456
N16 6TJ,188020,533856
N16 6UA,187851,533842
N16 7EA,186834,534209
